Grade,Topic,Learning Objective,English question,Answer_english
3,Pattern,extends patterns in numbers,"The number of students doing yoga increases like this each day:
8, 12, 16, 20… How many students will there be on the next day?",24
3,Pattern,extends patterns in numbers,"A sequence shows the table of 9:
9, 18, 27, 36, __ What number comes next?",45
3,Pattern,extends patterns in numbers,"A dot pattern grows like this:
1 dot, 2 dots, 4 dots, 8 dots…
If the pattern doubles each time, how many dots come next?",16 dots
3,Pattern,extends patterns in numbers,"A railway coach number pattern goes like this:
101, 103, 105, 107, __
What number should come next?",109
3,Pattern,extends patterns in numbers,"Rani arranges laddoos in a pattern:
1 laddoo, 3 laddoos, 5 laddoos, 7 laddoos…
How many laddoos will she place next?",9 laddoos
3,Pattern,extends patterns in numbers,"Mohan is arranging flowers for a puja:
rose, jasmine, jasmine, rose, jasmine, jasmine…
What is the 7th flower?",rose
3,Pattern,extends patterns in numbers,"A pattern decreases by 5 each time:
75, 70, 65, __, 55
What is the missing number?",60
3,Pattern,extends patterns in numbers,"A domino-style dot pattern grows:
2 dots, 4 dots, 6 dots, 8 dots…
How many dots come next?",10 dots
3,Pattern,extends patterns in numbers,"Fill in the missing number:
90, 80, 70, __, 50",60
3,Calendar,identifies a particular day and date on a calendar,Riya started her summer vacation on 15 May and school reopened on 10 June.How many days long was her vacation?,26 Days
3,Calendar,identifies a particular day and date on a calendar,Independence Day is on 15 August. Raksha Bandhan that year was on 30 August.How many days after Independence Day was Raksha Bandhan?,15 days after
3,Calendar,identifies a particular day and date on a calendar,"Sachin borrowed a library book on 5 August. He must return it after 14 days, not counting the day he borrowed it. What is the return date?",19 August
3,Calendar,identifies a particular day and date on a calendar,Lokesh’s maths project was assigned on 28 March. He completed it in 9 days. On what date did he finish it?,6 April
3,Calendar,identifies a particular day and date on a calendar,Hema started fasting for a festival on 1 October and ended on 10 October. For how many days did she fast?,10 days
3,Calendar,identifies a particular day and date on a calendar,A school reopened after winter break on 3 January. The winter break had lasted 12 days. On which date did the break begin?,22 December
3,Calendar,identifies a particular day and date on a calendar,Vikas resolved to study math every day for 30 days starting from 10 December. On which date will his 30-day plan end?,8 January
3,Calendar,identifies a particular day and date on a calendar,Diwali holidays started on 1 November and ended on 8 November. How many holidays did the students get?,8 days
3,Calendar,identifies a particular day and date on a calendar,The Class 4 picnic was on 26 January (Republic Day). The teacher asked students to submit consent forms 10 days earlier. What was the last date to submit the forms?,16 January
3,Calendar,identifies a particular day and date on a calendar,"Raju’s birthday is on 29 September. His sister Rani’s birthday is 12 days after his.
What is Rani’s birthday?",11 October
4,addition,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A library in Delhi has 2,467 Hindi books and 5,312 English books. How many books are there in total?","7,779"
4,addition,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A farmer harvested 4,135 kg of wheat in one month and 2,846 kg in the next month. How much wheat did he harvest in total?","6,981 Kg"
4,addition,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"In a school fair, 7,294 tickets were sold on Saturday and 1,583 tickets on Sunday. How many tickets were sold in total?","8,877"
4,addition,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A post office delivered 3,651 letters in the morning and 4,729 letters in the evening. How many letters were delivered in total?","8,380"
4,addition,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A shopkeeper sold clothes worth ₹8,042 in the morning and ₹1,937 in the evening. What was the total amount of sales?","₹9,979"
4,addition,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"Two schools in a town have 6,723 and 2,354 students respectively. How many students are there in total?","9,077"
4,addition,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A train travelled 5,891 km in the first week and 4,126 km in the second week. What is the total distance travelled?","10,017"
4,addition,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A hospital treated 7,480 patients in January and 3,285 patients in February. How many patients were treated in total?","10,765"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A school printed 5,432 exam papers. They distributed 3,789 papers to students. How many exam papers are left?","1,643"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"You are given the following number pairs: (248, 193), (415, 289), (130, 78). Find the number pair whose difference is the greatest.","(415, 289)"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A school had 6,250 students last year. This year, the number dropped to 4,875. How many students have decreased?","1,375"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A shopkeeper had ₹9,300. He spent ₹4,275 to buy new stock. How much money does he have left?","5,025"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A school in Delhi had 5,438 students. After some students transferred to other schools, 2,615 students were left. How many students transferred?","2,823"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A toy factory in Noida made 7,234 toys in January and 3,569 toys in February. How many more toys were made in January?","3,665"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"The Indian Railways had 8,469 employees in a region. After transfers, only 5,124 remained. How many employees were transferred?","3,345"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A farmer in Punjab harvested 8,042 kg of wheat this year and 6,318 kg last year. How much more wheat did he harvest this year?","1,724 Kg"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A truck carrying rice from a warehouse in Haryana had 9,508 kg. After deliveries to local shops, only 4,672 kg was left. How much rice was delivered?","4,836 Kg"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A farmer had 6,700 kg of rice. He sold 3,258 kg in the market. How much rice is left with him?","3,442 Kg"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A stadium had 5,980 seats. During a cricket match, 4,642 seats were occupied. How many seats were empty?","1,338"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A truck was carrying 7,150 kg of goods. At the first stop, 2,935 kg were unloaded. How much is still in the truck?","4,215 Kg"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A textile shop in Surat had 6,731 metres of cloth. After selling some during the festive season, 2,486 metres were left. How much cloth was sold?","4,245"
4,subtraction,solves simple daily life problems using addition and subtraction of four digit numbers with and without regrouping,"A book publisher in Jaipur printed 5,920 books. Out of these, 3,475 books were delivered to stores. How many books are still with the publisher?","2,445"
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,A fruit vendor sells 18 apples in a day. How many apples does he sell in 25 days?,450
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,A farmer has 28 mango trees. Each tree produces 15 mangoes. How many mangoes does the farmer collect in total?,420
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,A school has 125 benches. Each bench has 24 screws. How many screws are used in total?,"3,000"
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,A farmer planted 132 rows of mango trees. Each row has 36 trees. How many mango trees did he plant?,"4,752"
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,"A book publisher printed 215 books in each batch. If there were 28 batches, how many books were printed in total?","6,020"
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,"A construction worker lays 245 bricks in one row. If he lays 7 such rows, how many bricks does he use in total?","1,715"
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,A textile mill produces 326 metres of cloth each day. How much cloth is produced in 21 days?,"6,846"
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,"A bus has 45 seats. If there are 12 buses, how many people can sit in total?",540
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,A vegetable seller sells 34 kg of potatoes in a day. How many kilograms of potatoes does he sell in 22 days?,748 Kg
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,"A truck can carry 175 sacks of rice. If 19 trucks are used, how many sacks can be transported?","3,325"
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,"A toy costs ₹125. If Rohan buys 4 such toys, how much does he have to pay in total?",500
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,A bus travels 238 km in a day. How many kilometers will it travel in 7 days?,"1,666 km"
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,"A book has 312 pages. If Rahul reads 5 pages every day, how many pages will he read in 6 days?",30
4,multiplication,multiplies 2 and 3 digit numbers by 1- or 2-digit numbers,A school bus carries 135 students in one trip. How many students will it carry in 8 trips?,"1,080"
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,"A school has 864 students. If they are divided equally into 8 sections, how many students will be in each section?",108
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,A farmer has 432 apples. He packs them equally into 9 baskets. How many apples are there in each basket?,48
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,There are 438 children going on a school trip. Each bus can take 41 children. How many buses will be fully filled and how many children will be left for the next bus?,"10 , 28 "
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,A wholesaler has 502 kg of rice. He wants to pack it in bags of 45 kg each. How many full bags can he pack and how much rice will be left?,"11 , 7 kg "
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,"A factory produces 252 toys in a day. If the toys are packed into 6 boxes equally, how many toys are in each box?",42
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,"A truck carries 432 kg of rice. If the rice is packed into 3 sacks equally, how many kg of rice is in each sack?",144 Kg
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,"A factory produces 4,50 biscuits and packs 10 biscuits in each packet. How many packets are made?",45
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,Rita has ₹ 200 in ₹10 notes. How many ₹10 notes does she have?,20
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,"A bookshop received 1,80 pens. If each box contains 10 pens, how many boxes did the shop receive?",18
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,A school has 240 students and wants to divide them equally into 30 classrooms. How many students will be in each classroom?,8
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,A shopkeeper has 396 chocolates. He packs them equally into 22 boxes. How many chocolates go into each box?,18
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,A farmer harvested 560 kg of potatoes and packed them equally in 20 bags. How many kg of potatoes are in each bag?,28 kg
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,A factory produces 672 bottles of juice and packs them equally in 28 cartons. How many bottles are in each carton?,24
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,A sweet shop has 458 laddoos and wants to pack them in boxes of 36. How many full boxes can be packed and how many laddoos will be left?,"12 full boxes, 26 laddoos"
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,A farmer has 487 oranges. He wants to put them into baskets with 36 oranges in each. How many full baskets can he make and how many oranges will be left?,"13 full baskets, 19 oranges "
4,division,divides a number by another number using different methods like – equal grouping or repeated subtraction and by using inter-relationship between division and multiplication. Divide 3-digit number by 1-digit or 2-digit numbers,A bookshop received 521 pens. They are packed into boxes of 48 pens each. How many full boxes can be packed and how many pens will be left?,"10 full boxes, 41 pens "
4,fraction,finds the number corresponding to part of a collection,A fruit vendor has 90 apples. He sells 1/3 of them by the evening. How many apples are left?,60
4,fraction,finds the number corresponding to part of a collection,A cake is divided into 5 equal parts. Riya eats 2/5 of the cake. What fraction of the cake is left?,3/5
4,fraction,finds the number corresponding to part of a collection,A water tank holds 90 liters of water. Ramesh used 2/3 of the water for washing. How many liters of water did he use? How many liters are left?,"60,30"
4,fraction,finds the number corresponding to part of a collection,A basket has 45 mangoes. Neha took 2/5 of them to make mango juice. How many mangoes did she take? How many are left in the basket?,"18, 27"
4,fraction,finds the number corresponding to part of a collection,A bakery baked 30 cakes. A customer bought 2/3 of them. How many cakes did the customer buy? How many cakes are still left in the bakery?,"20,10"
4,fraction,finds the number corresponding to part of a collection,A classroom has 60 seats. 3/5 of them are occupied by students. How many seats are occupied? How many seats are still empty?,"36, 24"
4,fraction,finds the number corresponding to part of a collection,A box has 40 chocolates. Rahul gave 2/5 of them to his friends. How many chocolates did he give?,16
4,fraction,finds the number corresponding to part of a collection,Asha made 12 rotis for dinner. Her family ate 2/3 of them. How many rotis are left?,4
4,fraction,finds the number corresponding to part of a collection,"A watermelon weighs 9 kg. If Ramesh cuts 1/3 of it, what is the weight of the piece he cuts?",3 kg
4,fraction,finds the number corresponding to part of a collection,There are 60 mangoes in a basket. 2/3 of them are ripe. How many mangoes are ripe? How many are not ripe?,"40, 20"
4,fraction,finds the number corresponding to part of a collection,Rohan has 56 marbles. He gave 2/7 of them to his friends. How many marbles did he give? How many marbles are left?,"16, 40"
4,fraction,finds the number corresponding to part of a collection,A shop has 36 notebooks. 2/9 of them are blue. How many notebooks are blue? How many are not blue?," 8, 28"
4,fraction,finds the number corresponding to part of a collection,Seema ate 1/5 of a chocolate bar in the morning and 2/5 in the afternoon. What fraction of the chocolate bar did she eat in total?,3/5
4,fraction,finds the number corresponding to part of a collection,"Priya wants to buy a toy that costs ₹ 6. She has three ₹ 1 coins, one ₹ 2 coin, and two ₹ 1/2 coins. Does she have enough money?",Yes
4,fraction,finds the number corresponding to part of a collection,Ravi read 2/6 of a book on Monday and 3/6 on Tuesday. What fraction of the book did he read in total?,5/6
4," 
 	
measurement","solves problem involving daily life situations related to length, distance, weight, volume and time involving four basic arithmetic operations",How many 1 ml droppers will fill a 10 ml dosing cup?,10 droppers
4," 
 	
measurement","solves problem involving daily life situations related to length, distance, weight, volume and time involving four basic arithmetic operations", how many 10 ml dosing cups will fill a 250 ml glass?,25 cups
4," 
 	
measurement","solves problem involving daily life situations related to length, distance, weight, volume and time involving four basic arithmetic operations","A factory fills 500 mL juice bottles. If they fill 200 bottles in a day, how many litres of juice do they use?",100 L
4," 
 	
measurement","solves problem involving daily life situations related to length, distance, weight, volume and time involving four basic arithmetic operations",How many 100 g sugar packets are needed to balance one 500 g sugar packet?,5 packets
4," 
 	
measurement","solves problem involving daily life situations related to length, distance, weight, volume and time involving four basic arithmetic operations",How many 500g packets are in 10 kg?,20 packets
4," 
 	
measurement","solves problem involving daily life situations related to length, distance, weight, volume and time involving four basic arithmetic operations","If one packet of daal weighs 250 g, how many packets are needed to match a 750 g sack?",3 packets
4," 
 	
measurement","solves problem involving daily life situations related to length, distance, weight, volume and time involving four basic arithmetic operations","if an eraser weights 10 g, how many erasers will weigh the same as a 50 g Haldi packet?",5 erasers
4," 
 	
measurement","solves problem involving daily life situations related to length, distance, weight, volume and time involving four basic arithmetic operations","A 250 g rice packet will weigh the same as how many erasers, if one eraser weighs 10 g?",25 erasers
4," 
 	
measurement","solves problem involving daily life situations related to length, distance, weight, volume and time involving four basic arithmetic operations","A shop sells 100 g of tea leaves in each packet. If a customer buys 15 such packets, what is the total weight in kilograms and grams?", 1 kg 500g
4,measurement of length,converts metre into centimetre and vice versa,A shelf is 3 metres long. Raju wants to cover its edge using decorative tape that is 25 centimetres long. How many pieces of the tape does he need?, 12 pieces
4," 
 	
measurement","solves problem involving daily life situations related to length, distance, weight, volume and time involving four basic arithmetic operations",The edge of a classroom blackboard is 300 centimetres long. Rahul has chalk strips that are 60 cm each. How many chalk strips will he need to outline the board?,5 strips
4,measurement of length,converts metre into centimetre and vice versa,Ram and Sham are of same height and are using a measuring tape to measure their own height. Ram reads his height as 120 cm. Sham reads his height as 1 metre 20 centimetres.Who is correct?,Both 
4,measurement of length,converts metre into centimetre and vice versa,The length of a board is 2 metres. Sonu has a decorative border sticker that is 20 cm long. How many such stickers are needed to cover the entire length of the board?,10 stickers
4,measurement of length,converts metre into centimetre and vice versa,"A rope is 5 metres long. If each small section measures 25 centimetres, how many sections can be made?",20
4,measurement of length,converts metre into centimetre and vice versa,A rope is 20 m long. A carpenter cuts 8 m 35 cm of the rope. How much rope is left?, 11 m 65 cm
4," 
 	
measurement","solves problem involving daily life situations related to length, distance, weight, volume and time involving four basic arithmetic operations","A roll of wire is 900 cm long. If it is cut into 9 equal pieces, what is the length of each piece?",100 cm
4,measurement of length,converts metre into centimetre and vice versa,A tailor needs 3 m 40 cm of cloth to make one curtain. How much cloth does he need for 5 curtains?,17 m
4,measurement of length,converts metre into centimetre and vice versa,Neha is helping her father measure the length of a wooden plank. The plank is 2 meters long. She needs to cut it into 4 equal pieces. What will be the length of each piece?,0.5 m
4,time,calculates time intervals/ duration of familiar daily life events by using forward or backward counting/ addition and subtraction,The hour hand is at 6. How many hours will it take to reach 6 again?,12 hours
4,time,calculates time intervals/ duration of familiar daily life events by using forward or backward counting/ addition and subtraction,A train departs from the station at 9:45 AM and reaches its destination after 3 hours 20 minutes. At what time does it reach?,1:05 PM
4,time,calculates time intervals/ duration of familiar daily life events by using forward or backward counting/ addition and subtraction,Seema started watching a movie at 6:00 PM. The movie ended at 8:15 PM. How long was the movie?,2 hours 15 minutes
4,time,reads clock time in hour and minutes and expresses the time in a.m. and p.m.,How many minutes are in one quarter (¼) of an hour?,15 minutes
4,time,reads clock time in hour and minutes and expresses the time in a.m. and p.m.,A music lesson lasts for 45 minutes. How many quarters of an hour is that?,3 quarters
4,time,reads clock time in hour and minutes and expresses the time in a.m. and p.m.,"Riya's Grandfather takes a walk every morning at 6:00 a.m. If he walks for half an hour, at what time does he return home?",6:30 a.m
4,time,reads clock time in hour and minutes and expresses the time in a.m. and p.m.,Priya leaves home for tuition at 4:00 p.m. It takes her half an hour to reach. What time does she reach tuition class?,4:30 p.m
4,time,reads clock time in hour and minutes and expresses the time in a.m. and p.m.,Aman begins breakfast at 7:15 a.m. He eats for a quarter hour. When does he finish?,7:30 a.m
4,time,reads clock time in hour and minutes and expresses the time in a.m. and p.m.,Ananya begins helping her mother at 11:00 a.m. She helps for a half hour. What time does she finish?,11:30 a.m
4,time,reads clock time in hour and minutes and expresses the time in a.m. and p.m.,A storytelling session starts at 5:30 p.m. It goes on for a quarter hour. When does it end?,5:45 p.m
4,time,reads clock time in hour and minutes and expresses the time in a.m. and p.m.,Meera starts reading at 4:30 p.m. She reads for a half hour. What time does she stop?,5:00 p.m
4,time,"relates to 24 hr clock with respect to 12 hr 
clock",Riya's train leaves at 3:45 PM. What is the departure time in 24-hour format?,15:45
4,time,"relates to 24 hr clock with respect to 12 hr 
clock",A movie starts at 7:30 PM. What time will it be in 24-hour clock format?,19:30
4,time,"relates to 24 hr clock with respect to 12 hr 
clock",An airplane lands at 18:20. What is the landing time in 12-hour format?,6:20 PM
4,time,"relates to 24 hr clock with respect to 12 hr 
clock",The metro in Delhi arrives at 20:10. What time is this on the 12-hour clock?,08:10 PM
4,time,"relates to 24 hr clock with respect to 12 hr 
clock",A train from Mumbai departs at 11:20 PM. What is the departure time on a 24-hour clock?,23:20
4,time,"relates to 24 hr clock with respect to 12 hr 
clock",A cricket match on TV begins at 18:45. What is the time in 12-hour format?,06:45 PM
4,time,"relates to 24 hr clock with respect to 12 hr 
clock",A children’s show on TV starts at 17:25. Convert this to the 12-hour clock.,05:25 PM
4,time,"relates to 24 hr clock with respect to 12 hr 
clock",Muskan reaches her dance class at 3:05 PM. Write this time in 24-hour format.,15:05
4,time,calculates time intervals/ duration of familiar daily life events by using forward or backward counting/ addition and subtraction,Riya took a train from Delhi at 7:45 AM and reached Agra at 10:15 AM. How long was her journey?,2 hours 30 minutes
4,time,calculates time intervals/ duration of familiar daily life events by using forward or backward counting/ addition and subtraction,Sneha’s school starts at 9:15 AM and ends at 2:45 PM. How many hours and minutes does she spend in school?,5 hours 30 minutes
4,time,calculates time intervals/ duration of familiar daily life events by using forward or backward counting/ addition and subtraction,A football match started at 4:45 PM and ended at 6:15 PM. How long did the match last?,1 hour 30 minutes
4,time,calculates time intervals/ duration of familiar daily life events by using forward or backward counting/ addition and subtraction,Ravi left home for school at 7:30 AM. He reached school at 8:10 AM. How long did Ravi take to reach school?,40 minutes
4,time,calculates time intervals/ duration of familiar daily life events by using forward or backward counting/ addition and subtraction,Anita began reading her storybook at 3:20 PM. She read for 45 minutes. At what time did she stop reading?,4:05 PM
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","Riya wanted to find out the favourite fruits of her classmates. She asked 20 students in her class and noted down their choices. She found that 6 students liked mangoes, 5 liked bananas, 4 liked apples, 3 liked grapes, and 2 liked oranges. Based on this information, which fruit was liked by the most number of students? Also, how many students liked mangoes and bananas together?","Mangoes, 11"
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","The number of books read by five students in the month of July.  Aman read 5 books, Neha read 8, Rishi read 3, Kavya read 6, and Tarun read 4 books. Based on this data, answer the following questions: Who read the most books? Who read the least? How many more books did Neha read than Tarun?","Neha, Rishi, 4"
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","During the school’s annual sports day, the students were asked about their favourite sport. The results were as follows: 12 students liked cricket, 9 liked football, 6 liked badminton, 5 liked kho-kho, and 8 liked kabaddi. Find out which sport is the most popular. If cricket, football, kho-kho, and kabaddi are outdoor games, find the total number of students who preferred outdoor games."," Cricket, 34"
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","Rahul’s father runs a dairy shop. One week, he noted the number of milk packets sold from Monday to Friday. The dairy sold 35 packets on Monday, 40 on Tuesday, 30 on Wednesday, 45 on Thursday, and 50 on Friday. On which day were the most packets sold? What was the total number of milk packets sold during the week?"," Friday, 200"
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","Anita is in charge of collecting lunch order counts for different days in her school canteen. She recorded the number of thalis sold each day from Monday to Friday: 25 on Monday, 30 on Tuesday, 20 on Wednesday, 35 on Thursday, and 40 on Friday. On which day were the fewest thalis sold? What is the total number of thalis sold during the week?","Wednesday, 150"
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","A book fair was held in a school for 5 days. The number of books sold each day was: 60 on Monday, 75 on Tuesday, 50 on Wednesday, 80 on Thursday, and 90 on Friday. Which day had the highest book sales? Which two days had the least difference in sales? What is the total number of books sold during the fair?"," Friday, Tuesday & Thursday, 355"
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","In an inter-school art competition, five schools participated and the number of prizes each won was recorded. Lotus Public School won 22 prizes, Green Valley School won 18, Sunrise School won 25, Hill View School won 14, and Bright Future School won 19. Which school won the most prizes?  What is the total number of prizes won by all schools?"," Sunrise School, 98"
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","A city-level science quiz was held, and the scores of five participating teams were recorded. Team A scored 30 points, Team B scored 24, Team C scored 28, Team D scored 18, and Team E scored 26. Which team scored the highest? Which teams scored more than 25 points? What is the total score of all the teams combined?","Team A, Team A and Team C and Team E, 126"
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","An animal shelter kept a record of the number of different animals adopted in a month. The data showed that 12 dogs, 9 cats, 6 rabbits, 4 parrots, and 3 turtles were adopted. Which animal was adopted the most? Which two animals had the lowest adoption numbers? How many animals were adopted in total?","Dogs, Parrots & Turtles, 34"
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","During a class survey, students were asked about their favourite festival. The responses were: 14 students chose Diwali, 10 chose Holi, 8 chose Eid, 6 chose Christmas, and 2 chose Pongal. Which festival was the most popular? Which festival got the least votes? What is the difference between the most and least voted festivals?","Diwali, Pongal, 12"
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","A grocery store sold different quantities of grains in a week. The sales were as follows: 45 kg of rice,30 kg of wheat,20 kg of maize,25 kg of barley,15 kg of millet. Which grain was sold the most? Which two items together make exactly 50 kg of sales? What is the total quantity of all items sold?"," Rice, Wheat & Maize, 135 kg"
4,data handling,"represents the collected information in 
tables and bar graphs and draws inferences 
from these","Arjun saves money every month. In January, he saved ₹200, in February ₹250, in March ₹300, and in April ₹150. Based on this data, answer the following questions:What is Arjun's total savings for the four months? In which month did Arjun save the most?","₹900, March"
4,measurement of length,converts metre into centimetre and vice versa,A ribbon is 95 centimetres long. What is its length in metres?,0.95 m
4,measurement of length,converts metre into centimetre and vice versa,A cloth measures 345 centimetres in length. What is its total length in metres?,3m 45 cm
4,measurement of length,converts metre into centimetre and vice versa,"A pencil is 18 cm 5 mm long. After sharpening, it becomes 14 cm 9 mm long. How much length is reduced?",3cm 6mm
4,measurement of length,converts metre into centimetre and vice versa,"A stick measures 5 metres, and a cap attached to it adds another 45 centimetres. What is the total length of the stick in centimetres?",545cm
4,measurement of length,converts metre into centimetre and vice versa,A table is 120 cm long. Convert this length into meters.,1.20m
4,measurement of length,converts metre into centimetre and vice versa,A nail is 75 millimetres long. What is its length in centimetres?,7.5 cm
4,measurement of length,converts metre into centimetre and vice versa,A shoelace is 340 millimetres long. What is the length in centimetres?,34 cm
4,measurement of length,converts metre into centimetre and vice versa,The width of a small notebook is 120 millimetres. What is it in centimetres?,12 cm
4,measurement of length,converts metre into centimetre and vice versa,Convert 99 centimetres into metres.,0.99 m
4,measurement of length,converts metre into centimetre and vice versa,What does 0.9 cm mean? It is the same as how many millimetres?,9 mm
4,measurement of length,converts metre into centimetre and vice versa,A ribbon is 150 cm long. How many millimeters long is the ribbon?,1500 mm
4,measurement of length,converts metre into centimetre and vice versa,A piece of cloth measures 500 mm in length. How many centimeters long is the cloth?,50 cm
4,measurement of length,converts metre into centimetre and vice versa,A pencil is 150 millimeters long. How many centimeters long is the pencil?,15 cm
4,measurement of length,converts metre into centimetre and vice versa,Convert 1 metre and 5 centimetres into metres.,1.05 m
5,fraction,identifies and forms equivalent fractions of a given fraction,Meena cut a ribbon into 8 equal parts and used 4/8 of it to decorate her school project. What other fraction shows the same amount of ribbon she used?,1/2
5,fraction,identifies and forms equivalent fractions of a given fraction,"Identify the equivalent fraction to 5/10.
1/2
2/5
3/6
4/10",1/2
5,fraction,identifies and forms equivalent fractions of a given fraction,"Arjun read 2/6 of his storybook in the morning. Which fraction shows the same amount he read?
1/3
3/6
4/6
1/2",1/3
5,fraction,identifies and forms equivalent fractions of a given fraction,"Which of the following pairs of fractions are equivalent?
1/2 and 2/5
3/4 and 6/8
2/3 and 4/9
1/5 and 3/10",3/4 and 6/8
5,fraction,identifies and forms equivalent fractions of a given fraction,"Riya ate 2/4 of a dosa. Which fraction shows the same amount?
1/2
2/6
3/8
1/3",1/2
5,fraction,identifies and forms equivalent fractions of a given fraction,"Saanya used 4/8 of a ribbon for her craft. Which fraction shows the same amount?
1/4
3/4
1/2
2/3",1/2
